id,description,gif
48,Boyer-Moore String Search,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/boyer_moore_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYm95ZXJfbW9vcmVfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDE4NjUwMCwiZXhwIjoxNzU1NzIyNTAwfQ.PVpGOeNAxxEr8sqtHZek-ARxQFjh8UvC_fTyUCzm8_o&t=2024-08-20T20%3A41%3A36.939Z
49,Linklist cycle detection and removal,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/linked_list_cycle_detection_removal.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbGlua2VkX2xpc3RfY3ljbGVfZGV0ZWN0aW9uX3JlbW92YWwuZ2lmIiwiaWF0IjoxNzI0MTg3NTUwLCJleHAiOjE3NTU3MjM1NTB9.Md6jgoQ_iSqdU5U5OMxYqgYfs0bpZmKQcw8sEJ7wWM8&t=2024-08-20T20%3A59%3A07.908Z
50,Graph Coloring,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/graph_coloring_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZ3JhcGhfY29sb3JpbmdfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDE4ODIzMSwiZXhwIjoxNzU1NzI0MjMxfQ.Ba0CRWGLAYGqnookno11X3TmI9GA5yBoEJmDGSQM8Ng&t=2024-08-20T21%3A10%3A27.975Z
51,If-Else statement,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/if_else_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaWZfZWxzZV9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0MjY0Nzc5LCJleHAiOjE3NTU4MDA3Nzl9.vY4zO4CORsEgAsl7hP2ytQrZEZnKqR5sueFQXoxcpTc&t=2024-08-21T18%3A26%3A15.173Z
52,Switch (condition checking),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/switch_animation_step_by_step.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc3dpdGNoX2FuaW1hdGlvbl9zdGVwX2J5X3N0ZXAuZ2lmIiwiaWF0IjoxNzI0MjY3NDQzLCJleHAiOjE3NTU4MDM0NDN9.hwXu59i3vxYEc9miCF-5lrprra4ZVARXGln90TVJf9c&t=2024-08-21T19%3A10%3A39.554Z
53,Kadane Algorithm ( Maximum subarray),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/kadane_algorithm_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uva2FkYW5lX2FsZ29yaXRobV9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0Mzk2MzkwLCJleHAiOjE3NTU5MzIzOTB9.JC3oNIKS_4PEWhADG-OKpoovRHTbZFGnz2UMCJWMc0o&t=2024-08-23T06%3A59%3A42.941Z
54,Fibonnaci Dp approach,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/fibonacci_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZmlib25hY2NpX2RwX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQzOTY4NTQsImV4cCI6MTc1NTkzMjg1NH0.i_40mprhZ8utiT-hD5JnKLTuYqG_fH_fFFhYJWf66SY&t=2024-08-23T07%3A07%3A27.119Z
55,Travelling Salesman Problem,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/tsp_dp_graph_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvdHNwX2RwX2dyYXBoX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQ0MDEzOTAsImV4cCI6MTc1NTkzNzM5MH0.eAGJ2RJHF72l0oM7uaWcn_p0-M3wxFJnVf6Xu6tHK5A&t=2024-08-23T08%3A23%3A02.948Z
56,Coint Change Problem (Dp Approach),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/coin_change_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvY29pbl9jaGFuZ2VfZHBfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDQwMjAxMiwiZXhwIjoxNzU1OTM4MDEyfQ.IYDO_3swCEtfPvddRNZnFggwCpW5jCRODt4BsHvVdxo&t=2024-08-23T08%3A33%3A25.128Z
57,Matrix Chain Multiplication (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/matrix_chain_dp_animation_real_time.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbWF0cml4X2NoYWluX2RwX2FuaW1hdGlvbl9yZWFsX3RpbWUuZ2lmIiwiaWF0IjoxNzI0NDAyNzc4LCJleHAiOjE3NTU5Mzg3Nzh9.5NJB7uPgJWIDD3up1LfS3Tj12G5RbXuYiUSbMm5b0mw&t=2024-08-23T08%3A46%3A11.307Z
58,Longest increasing subsequence (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/lis_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbGlzX2RwX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQ0MDQ2OTIsImV4cCI6MTc1NTk0MDY5Mn0.hXZPJxhgxjYClsJBfbiO5UvrHvx82_nEjJWRKmTOGaM&t=2024-08-23T09%3A18%3A05.398Z
59,Edit Distance (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/edit_distance_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZWRpdF9kaXN0YW5jZV9kcF9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0NDA2NTEzLCJleHAiOjE3NTU5NDI1MTN9.mjAIqMi8TWB6E2AUIBiSz4YR7MzfkQ5xQj_ikzUjwp0&t=2024-08-23T09%3A48%3A26.402Z
60,Rod Cutting Problem (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/rod_cutting_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvcm9kX2N1dHRpbmdfZHBfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDQwNjYxMSwiZXhwIjoxNzU1OTQyNjExfQ.AGBoZrGOSc2qetj3tHUVuD2MAyK9FQmzosC_yV9ZXmA&t=2024-08-23T09%3A50%3A04.202Z
61,Egg Dropping Problem (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/egg_dropping_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZWdnX2Ryb3BwaW5nX2RwX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQ0MDcyOTYsImV4cCI6MTc1NTk0MzI5Nn0.HzfQJ2oo_lxHOFckSpl8x_oeLjO-O_P6tEO2Ak_fLko&t=2024-08-23T10%3A01%3A29.365Z
62,Subset sum (dp),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/subset_sum_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc3Vic2V0X3N1bV9kcF9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0NDA3OTQ0LCJleHAiOjE3NTU5NDM5NDR9.hna9SbZKkNNL9S8WD_JSaZaW-BpmkSO91iR5njDJD4c&t=2024-08-23T10%3A12%3A17.362Z
63,Wildcard Pattern Matching (DP),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/wildcard_pattern_dp_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvd2lsZGNhcmRfcGF0dGVybl9kcF9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0NDA4NDQ2LCJleHAiOjE3NTU5NDQ0NDZ9.Yfdlh3vL7Y8xSJT7XZxXjvYrpUO8fmViv5d53IddQLM&t=2024-08-23T10%3A20%3A39.237Z
